"var","rel.inf"
"package_2013_2014",27.4011798708599
"total_2013_2014",24.8415071111167
"avg.2.years",6.71536692155544
"no.seats_2013_2014",6.4006404751556
"account.num",5.40062329966055
"avg.2.years.if.no.var",4.62291120710113
"location_2013_2014",2.1996813506053
"adjusted.total.2013_2014",2.09410805092124
"amount.donated.lifetime",1.68442512522253
"avg.3.years",1.66533038201885
"location_2012_2013",1.45437820963594
"avg.5.years",1.33914088246227
"add_avg.donation",1.18536376460196
"avg.6.years",0.982774370201287
"years.donating",0.905651811915819
"no.donations.lifetime",0.876054968416872
"amount.donated.2013",0.837814180983772
"var.6.years",0.795521378933996
"num.bought.subs",0.788553977821552
"avg.4.years",0.76546163202492
"avg.5.years.if.no.var",0.741589546329962
"section_2012_2013",0.596736351551869
"price.level_2013_2014",0.583857478446428
"avg.8.years",0.580918694657443
"add_avg.donation.if.donated.2013",0.575846115468925
"var.5.years",0.471534776476833
"var.8.years",0.466477712899783
"package_2012_2013",0.432536238691333
"var.4.years",0.398009253117267
"adjusted.total.2012_2013",0.363619225384981
"price.level_2012_2013",0.314521265447568
"avg.4.years.if.no.var",0.243013023098873
"var.3.years",0.232945232859918
"total_2012_2013",0.23185283137869
"no.seats_2012_2013",0.197472350610675
"var.2.years",0.187492421859986
"avg.3.years.if.no.var",0.167255153999012
"avg.6.years.if.no.var",0.147608883969353
"ever.bought.ticket",0.100274585621955
"avg.8.years.if.no.var",0.00994988691355055
"add_donated.2013",0
